ba	ば
tj	つん
td	てん
tl	とん
tq	たい
th	つう
tw	てい
tp	とう
va	ヴぁ
vi	ヴぃ
vu	ヴ
ve	ヴぇ
vo	ヴぉ
vn	ヴぁん
vk	ヴぃん
vj	ヴん
vd	ヴぇん
vl	ヴぉん
vq	ヴぁい
vw	ヴぇい
vp	ヴぉう
wa	わ
wi	うぃ
we	うぇ
wo	を
wn	わん
wk	うぃん
wd	うぇん
wq	わい
ww	うぇい
xa	しゃ
xu	しゅ
xe	しぇ
xo	しょ
xn	しゃん
xj	しゅん
xd	しぇん
xl	しょん
xq	しゃい
xh	しゅう
xw	しぇい
xp	しょう
ya	や
yu	ゆ
ye	いぇ
yo	よ
yz	やん
yj	ゆん
yd	いぇん
yl	よん
yq	やい
yh	ゆう
yw	いぇい
yp	よう
za	ざ
zu	ず
ze	ぜ
zo	ぞ
zn	ざん
zj	ずん
zd	ぜん
zl	ぞん
zq	ざい
zh	ずう
zw	ぜい
zp	ぞう
a	あ
i	い
u	う
e	え
o	お
q	ん
la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ
lya	ゃ
lyu	ゅ
lyo	ょ
;	っ
-	ー
tgi	てぃ
tgu	とぅ
dci	でぃ
dcu	どぅ
wso	うぉ
wsu	うぉう
wsp	うぉん
kf	きん
jf	じゅん
yf	ゆう
mf	むう
nf	ぬう
df	でん
cf	ちぇ
xf	しぇい
sf	せい
wf	うぇい
z.	…
t.	↑
d.	↓
l.	←
r.	→
k.	※
h.	★
c.	■
s.	□
z[	【】
z<	《》
tgk	てぃん
tgj	とぅん
dck	でぃん
dcj	どぅん
sm	様
sv	サーバ
sy	システム
pf	ぽう
zc	ざ
zv	ざい
zf	ぜ
zx	ぜい
1@	①
2@	②
3@	③
4@	④
5@	⑤
6@	⑥
7@	⑦
8@	⑧
9@	⑨
10@	⑩
11@	⑪
12@	⑫
13@	⑬
14@	⑭
15@	⑮
16@	⑯
17@	⑰
18@	⑱
19@	⑲
20@	⑳
0@	⓪
sc	サービス
cx	抽出
lc	ライセンス
ky	共有
kk	各
kn	機能
*(	()
